n_run,missing_percent,stress,loss
1, 0, 1231.114530433858, 4.180992603302002
1, 5, 1223.961673905534, 4.118417263031006
1, 10, 1246.21921015424, 4.177831649780273
1, 15, 1245.1661894733911, 4.147075653076172
1, 20, 1236.5834352942725, 4.072206020355225
1, 25, 1242.237316807187, 4.065789699554443
1, 30, 1252.8221967933289, 3.973057746887207
1, 35, 1291.4324833887604, 4.126258850097656
1, 40, 1290.7047271991876, 4.0743727684021
1, 45, 1303.955056157556, 4.0662031173706055
1, 50, 1298.022466260046, 3.9028778076171875
1, 55, 1299.1806735709783, 3.9252028465270996
1, 60, 1322.1597596525316, 3.7751731872558594
1, 65, 1395.6225936142491, 3.785496234893799
1, 70, 1419.2972101077776, 3.79072642326355
1, 75, 2027.4035692446714, 4.938032627105713
1, 80, 1519.681361570648, 3.3974475860595703
1, 85, 2045.163763297081, 3.920840263366699
1, 90, 2481.501818794121, 3.707343339920044
1, 95, 3024.3870668430277, 2.2515487670898438
2, 0, 1226.0095620489296, 4.160501956939697
2, 5, 1222.0238511769242, 4.099576950073242
2, 10, 1230.413276435104, 4.116768836975098
2, 15, 1248.3840134977177, 4.172206401824951
2, 20, 1257.5428341775978, 4.168971538543701
2, 25, 1251.7592663412893, 4.09738302230835
2, 30, 1247.0555002092901, 4.042271614074707
2, 35, 1262.2811045342246, 3.9911746978759766
2, 40, 1274.7162831662588, 3.9961657524108887
2, 45, 1276.8643335923837, 3.966010570526123
2, 50, 1346.9382239928543, 4.121401309967041
2, 55, 1312.42784259914, 3.8395981788635254
2, 60, 1328.9522385049227, 3.901808500289917
2, 65, 1342.3174387572753, 3.7940025329589844
2, 70, 1458.0431927048194, 3.908611536026001
2, 75, 1507.630824647697, 3.7932498455047607
2, 80, 2178.0483803989046, 4.7612080574035645
2, 85, 1903.8235924006983, 3.6758038997650146
2, 90, 2607.9803818678774, 4.06378173828125
2, 95, 2880.0562069633097, 1.9504218101501465
3, 0, 1222.3512024099232, 4.1458330154418945
3, 5, 1235.547721213206, 4.178713798522949
3, 10, 1234.5148996900884, 4.109020233154297
3, 15, 1237.9906655603666, 4.104667663574219
3, 20, 1264.8461172263178, 4.223837375640869
3, 25, 1250.5600223445942, 4.064741134643555
3, 30, 1257.3590813020276, 4.06764030456543
3, 35, 1263.632301646171, 4.021501541137695
3, 40, 1270.2461401123105, 3.9407849311828613
3, 45, 1296.603411963877, 4.031176567077637
3, 50, 1291.3966872663093, 3.9420862197875977
3, 55, 1344.9309569076145, 3.993669033050537
3, 60, 1805.6792235035305, 5.212155818939209
3, 65, 1651.099640245249, 4.707576751708984
3, 70, 1458.4921366744222, 3.8215813636779785
3, 75, 1524.7527285778895, 3.653151035308838
3, 80, 1843.2553101856067, 4.185001373291016
3, 85, 1995.3544989244926, 4.005830764770508
3, 90, 2657.9831290415777, 3.795530319213867
3, 95, 2969.5894644703494, 1.7783067226409912
4, 0, 1228.0743180242669, 4.168737888336182
4, 5, 1231.3537606504926, 4.165763854980469
4, 10, 1242.0012357385372, 4.169219493865967
4, 15, 1231.223207330753, 4.088662147521973
4, 20, 1243.188002647223, 4.070788383483887
4, 25, 1260.0371315719024, 4.149292945861816
4, 30, 1265.5736418056829, 4.104010105133057
4, 35, 1283.906873664001, 4.054844856262207
4, 40, 1280.3554702209672, 4.031567096710205
4, 45, 1341.942214063551, 4.166716575622559
4, 50, 1323.6545577509028, 4.098657131195068
4, 55, 1330.9314429194953, 3.935917854309082
4, 60, 1325.977231742128, 3.7823362350463867
4, 65, 1801.0214869469592, 4.996037483215332
4, 70, 1473.349738642989, 3.861903190612793
4, 75, 1574.4352158366582, 3.9432373046875
4, 80, 2006.546451990675, 4.488880157470703
4, 85, 1890.6723222763765, 3.5822396278381348
4, 90, 2716.4959793008206, 4.011664390563965
4, 95, 3009.6097189957645, 1.9741758108139038
5, 0, 1217.8439313612027, 4.127811431884766
5, 5, 1231.5845212266756, 4.134114742279053
5, 10, 1231.3128821909786, 4.1254801750183105
5, 15, 1246.2464859313563, 4.1242594718933105
5, 20, 1242.9166375215937, 4.096302032470703
5, 25, 1241.8246021957107, 4.044863224029541
5, 30, 1259.6095816284687, 4.053272247314453
5, 35, 1271.7235246179334, 4.082352638244629
5, 40, 1265.907718433641, 3.988408088684082
5, 45, 1353.9216014692759, 4.223067283630371
5, 50, 1290.2606817499272, 3.9408512115478516
5, 55, 1339.7725079590673, 3.9299509525299072
5, 60, 1357.900543754665, 3.935326337814331
5, 65, 1337.3963914121641, 3.8424859046936035
5, 70, 1391.5853300367294, 3.6815404891967773
5, 75, 1524.371983975671, 3.9189772605895996
5, 80, 1993.916320875991, 4.587214469909668
5, 85, 2095.1179836682604, 3.9216036796569824
5, 90, 2608.1299322034447, 3.894329071044922
5, 95, 3159.319814916854, 2.212401866912842
6, 0, 1236.3935277689152, 4.2021050453186035
6, 5, 1233.827020211812, 4.158252716064453
6, 10, 1243.8674381974472, 4.168459415435791
6, 15, 1234.2696402091615, 4.131719589233398
6, 20, 1245.3299808751117, 4.0959391593933105
6, 25, 1296.8283063120286, 4.221160411834717
6, 30, 1249.4238469090897, 4.040677547454834
6, 35, 1272.2306927662808, 4.008675575256348
6, 40, 1271.2044687573768, 3.9403815269470215
6, 45, 1279.9297339325365, 3.984905958175659
6, 50, 1312.534670495624, 4.050121307373047
6, 55, 1341.5881963287377, 3.9457056522369385
6, 60, 1374.647302643024, 3.9379162788391113
6, 65, 1329.962298938374, 3.6674442291259766
6, 70, 1709.7830720694803, 4.570014476776123
6, 75, 1482.9590059580532, 3.683102607727051
6, 80, 1877.3541144363626, 4.29463005065918
6, 85, 2116.663565342673, 4.055604934692383
6, 90, 2531.1539983670386, 3.8225255012512207
6, 95, 3006.012372062615, 2.012925863265991
7, 0, 1235.2901045757073, 4.19749641418457
7, 5, 1239.8634030900569, 4.188271999359131
7, 10, 1234.8593828732432, 4.129247665405273
7, 15, 1245.2991364763075, 4.144050598144531
7, 20, 1243.4942613014402, 4.087954521179199
7, 25, 1263.480571073432, 4.1075119972229
7, 30, 1254.2016040856506, 4.034228801727295
7, 35, 1254.7360697938786, 4.031271457672119
7, 40, 1288.0884533608455, 4.046568870544434
7, 45, 1281.6374105654518, 3.9415016174316406
7, 50, 1289.3041180018743, 3.8809263706207275
7, 55, 1300.1247320059197, 3.790935516357422
7, 60, 1399.2033623898164, 4.05342435836792
7, 65, 1353.4660904472921, 3.746290922164917
7, 70, 1836.8586814965386, 4.833253860473633
7, 75, 1478.4720909649545, 3.6699819564819336
7, 80, 1793.2580701667375, 4.062557697296143
7, 85, 2055.5855487781478, 3.9260120391845703
7, 90, 2461.9632519197125, 3.6716670989990234
7, 95, 2913.605952552233, 2.175642490386963
8, 0, 1227.0593441419182, 4.163675785064697
8, 5, 1240.436001962928, 4.188408374786377
8, 10, 1241.4033086691675, 4.1608500480651855
8, 15, 1242.2743236625752, 4.133306503295898
8, 20, 1252.4940668541253, 4.124531269073486
8, 25, 1240.5791241868224, 4.084442138671875
8, 30, 1267.4156043996363, 4.131967544555664
8, 35, 1283.231420127372, 4.097784042358398
8, 40, 1302.0533787213321, 4.053287506103516
8, 45, 1286.6631809463872, 3.9883968830108643
8, 50, 1764.2514459257386, 5.359979629516602
8, 55, 1430.4850688046301, 4.230377197265625
8, 60, 1379.2172122282243, 3.8505570888519287
8, 65, 1347.3045536878979, 3.783618450164795
8, 70, 1461.8966904687034, 3.9715793132781982
8, 75, 1447.179304609097, 3.52656888961792
8, 80, 2203.9375326921045, 4.946882247924805
8, 85, 2000.320121015411, 3.9043326377868652
8, 90, 2497.605835001031, 3.842270851135254
8, 95, 3004.7036092625985, 2.1963346004486084
9, 0, 1218.1659712744388, 4.129203796386719
9, 5, 1234.5200415998852, 4.158246040344238
9, 10, 1226.963769730123, 4.129124641418457
9, 15, 1230.6237776085773, 4.0753912925720215
9, 20, 1236.6050533727998, 4.084157943725586
9, 25, 1241.241747231476, 4.054961204528809
9, 30, 1253.7864657611458, 4.026871681213379
9, 35, 1265.9635344144024, 3.998446464538574
9, 40, 1268.1009605000474, 3.9278311729431152
9, 45, 1282.4233100995784, 3.9574217796325684
9, 50, 1302.4181958078832, 3.8797216415405273
9, 55, 1332.3212699084431, 3.8934547901153564
9, 60, 1371.8478819777297, 3.9568209648132324
9, 65, 1388.2347693331033, 3.8547139167785645
9, 70, 1378.5415377254385, 3.615455150604248
9, 75, 1674.635966230357, 4.136102676391602
9, 80, 1615.9444722443948, 3.767812728881836
9, 85, 2040.4172097686005, 3.9179677963256836
9, 90, 2701.7404643878117, 4.156175136566162
9, 95, 3134.0151673862315, 2.268603801727295
10, 0, 1229.1103233942529, 4.172919273376465
10, 5, 1231.8997615784865, 4.157885551452637
10, 10, 1256.0693891847561, 4.234952926635742
10, 15, 1247.3180761882563, 4.125575065612793
10, 20, 1256.985440000567, 4.175790309906006
10, 25, 1256.0180471980816, 4.077804088592529
10, 30, 1256.3052562657826, 4.037622928619385
10, 35, 1264.6730104345509, 4.032812118530273
10, 40, 1264.104076754065, 3.9773006439208984
10, 45, 1286.9393694856258, 3.969555377960205
10, 50, 1283.3943277871883, 3.8802318572998047
10, 55, 1361.8263697970813, 4.031844139099121
10, 60, 1354.544439289065, 3.8829970359802246
10, 65, 1540.0937393951901, 4.150390148162842
10, 70, 1381.8034978978983, 3.6820244789123535
10, 75, 1627.425257601666, 4.043954372406006
10, 80, 1900.7179427515105, 4.230617523193359
10, 85, 1653.4908369101856, 3.1880879402160645
10, 90, 2730.232516923061, 4.291120529174805
10, 95, 3139.272459982738, 2.1461594104766846
11, 0, 1220.8366150148713, 4.139749526977539
11, 5, 1227.799588000503, 4.139853477478027
11, 10, 1232.9752845150658, 4.125861167907715
11, 15, 1233.2048107503542, 4.112316608428955
11, 20, 1250.0206225171203, 4.1067914962768555
11, 25, 1244.3212806584625, 4.068422317504883
11, 30, 1265.904717749862, 4.101615905761719
11, 35, 1265.3019896628707, 4.016385555267334
11, 40, 1339.9924740204506, 4.247346878051758
11, 45, 1281.4223859227634, 3.9726929664611816
11, 50, 1332.2022397150085, 4.0553131103515625
11, 55, 1314.557841966537, 3.8543334007263184
11, 60, 1796.6174457131783, 5.130399703979492
11, 65, 1374.3303629860184, 3.9196701049804688
11, 70, 1896.888532990086, 5.0384111404418945
11, 75, 1616.2950533489734, 4.1625847816467285
11, 80, 2005.1746121957856, 4.425829887390137
11, 85, 1755.6142085203421, 3.426356554031372
11, 90, 2621.5129071736683, 3.9108965396881104
11, 95, 3018.2554029702274, 1.927520990371704
12, 0, 1220.5984780497365, 4.138949394226074
12, 5, 1241.9447613722418, 4.185933589935303
12, 10, 1234.1201641041034, 4.15071964263916
12, 15, 1241.203713601801, 4.105205535888672
12, 20, 1262.2184376030368, 4.181316375732422
12, 25, 1279.1426063159238, 4.182816982269287
12, 30, 1547.2337069209757, 5.123648166656494
12, 35, 1281.9470488025559, 4.069596290588379
12, 40, 1318.163453513308, 4.1525959968566895
12, 45, 1280.1082307686556, 3.9133830070495605
12, 50, 1304.128187780577, 3.894922971725464
12, 55, 1385.6088618541376, 4.149083137512207
12, 60, 1342.4024503672808, 3.8904008865356445
12, 65, 1727.6897123397716, 4.848441123962402
12, 70, 1831.0834664504507, 4.880183696746826
12, 75, 1425.5013962889022, 3.5896658897399902
